id,pavilion,Latitude,Longitute,area,admission,exhibit_price_1,exhibit_price_2,hours,exhibit 1,exhibit 2,exhibit 3,official_guide_ref,note 1,note 2,note 3,note 4,note 5,note 6,note 7,note 8,note 9,note 10
137,United States Pavilion,40.749871,-73.847031,Federal and State,$0.00,,,10am - 10pm,"Voyage to America: Beyond the entrance foyer is the first of the building's two theaters. It has continuous showings of a nine-minute film, dramatizing the nation's continual renewal as refugees reach the shores to begin life afresh.","Peace and Freedom: Two large halls are filled with illustrations of the American pursuit of peace and liberty: ""Challenge of Freedom"" presents the effects of progresson American life. An automated coal digger, for example, symbolizes both production advances and the problems of unemployment. The displays also include three-dimensional examples of miracle of modern science - including an oscilloscope that picks up sounds made by stars and by snails eating lettuce, demonstrating that the path of pure science may lead anywhere. ""Challenge of a Peaceful World"" depicts America's role in international affairs and looks ahead to uncharted space. Here, among other things, world new pours in over teletype and wirephoto machines; Peace Corpsmen talk about their experiences; a seismograph and a nuclear-detection satellite illustrate new techniques of arms control; and an operating model of the Mariner spaceship that made the Venus probe in 1962 is on display. In addition, an exhibit of children's art from all nations portrays the worldwide hope for peace.","The Past as Prologue: The entire second floor of the pavilion is the setting for an extraordinary film, prepared with new motion picture techniques, which whips history back to life: lighting flashes as Franklin flies his kite, the waters churn as Fulton launches his steamboat, and the canon roar as Civil War breaks out. The viewer is swept into the future as a rocket soars past the swirling Milky Way, to the moon and then beyond. Shown continuously, the film employs a host of revolutionary techniques - sliding screens, rising screens, screens that form a tunnel, and explosive sound effects. Visitors see the movie as they ride on moving grandstands.",182,"Pavilion Postscript: Before leaving the building, visitors are offered the following services in the specially created ""Challend of Information"" Library: Refernce lists, Copies of short essays, an adult reading area and a children's room",,,,,,,,,
138,United States Rubber,40.745245,-73.848018,Transportation,$0.25,,,10am - 10pm,,,,200,"In this sky ride, plastic gondolas while visitors around a giant whitewall tire that stands 80 feet hight.",,,,,,,,,
139,United States Space Park,40.74647,-73.852144,Transportation,$0.00,,,10am - 10pm,,,,200,"Many U.S. space vehicles are displayed here, including the Titan II rocket and the X-15 research plane.",,,,,,,,,
140,Unisphere,40.746361,-73.845072,Federal and State,$0.00,,,10am - 10pm,,,,"176, 180","The Statistics: The Unisphere is the largest representation of the earth man has ever made. It is 140 feet high and 120 feet in diameter, and  - with its tripod-like base - weighs 940,000 pounds. The sphere is formed of an open grid of meridians and parallels. Laid on them curved sheets of stainless steel representing the land masses; the capital of every nation is marked by a light.","The Design: Unprecedented problems had to be solved in constructing the huge model. Because the continents are not evenly distributed on earth, the Unisphere, which stands on three slender prongs, is an unbalanced ball. Furthermore, the metal land-mass areas act as sails in the wind, building up enormous and unequal pressures against the curved surfaces. The sculpture required the solution of mathematical problems so complex that without high-speed computers planning the Unisphere would have taken 10 years.",The model of the globe is the Fair's symbol.,,,,,,,
141,The Vatican,40.742804,-73.842598,International,$0.00,,,10am - 10pm,"The Masterwork: The Pietà represents the body of Christ in the arms of His mother just after He was taken down from the cross. The work, six feet long by five feet nine inches high, is shown in a setting created by stage designer Jo Mielziner. Spectators are carried past it on three moving platforms at different heights. There is a walkway for those who wish to view it at their own pace.","Multiplied Movies: Elsewhere in the pavilion six-minute films on religious themes are projected on a 10-screen curved wall, each screen contributing its own separate images to the theme.",St. Peter's Tomb:  In the center of the pavilion is an exact replica of the excavation made under St. Peter's Bascilica by archeologists in the 1940s and identified as the site venerated since the First Century as the Apostle Peter's burial place.,"147, 148","The Great Ceiling: In the final ground floor are the celebrated LIFE magazine transparencies of Michelangelo's Sistine Chapel ceiling and a photo exhibition on Catholic sacramental life. In separate kiosks are displays of coims and stamps having a religious significance, including the private collection of Francis Cardinal Spellman of New York.","The Chapel: The mezzanine floor is a Catholic chapel seating 300 persons. Mass is said each morning, and the chapel is open through the day. Near the front is a statue of the Good Shepherd that comes from the Catacomb Era of the Third Century. It is among the earliest existing sculptural representations of Christ.",,,,,,,,
142,Venezuela,40.748803,-73.843703,International,$0.00,,,10am - 10pm,"Documents of the Liberator: Some of the most important manuscripts and belongings of Simon Bolivar, the South American Liberator, are dramatically spotlighted in a dark room. In other side rooms are antique and modern jewelry. ","Performers from Caracas: Live entertainment is offered from time to time in the main hall. Guitarist Aliro Diaz, pianists Judith Jaimes and contemporary dance groups are scheduled.","Art New and Old: On the mezzanine is a collection of Venezuelan works, both old and new. Some of them are for sale.",136,Business Meetings: Officials form Venezuela's commercial world answer questions from American businessmen.,"Gifts and Souvenirs: A small shop sells colored glass, cigars, costumed dolls, poetry and gold orchid pins.",,,,,,,,
143,Walter's International Wax Museum,40.740796,-73.840359,Lake Amusement,$1.00 adults; $0.50 children under 12,,,10am - 12am,,,,"228, 231","Full-sized figures molded in wax represent personalities out of the past (Napoleon, Frederic Chopin, Lady Godiva) and the present (Dr. Kildare, Robert Moses, the cast of the Folies-Bergere).",,,,,,,,,
144,"WBT 2,000 Tribes",40.749704,-73.844058,International,$0.00,$0.50 for Theater,,10am - 10pm,"Bowls and Blowguns: On view in the museum are totem poles from the Indian tribes of the Pacific Northwest, brightly colored feather capes, carved wooden ornaments, bowls and woven work from North and South America. An exhibit also shows how Amazon Indians make blowguns and mix the poison they put on their darts - just as one of the hazards WBT missiories have encountered. Large photographs show WBT emissaries teaching basic hygiene and agriculture to primitive tribes, and providing medical care.","Jungle Scenes: On the stage of the 100 seat theater are five panels, 10 by 25 feet, depicting in dramatic scenes the conversion of an Amazon jungle headhunter who learned to read and write, then taught fellow tribesmen. Lights pick out each mural in turn in the darkened theater.",,"123, 130",The Wycliffe Bible Translators demonstrate how they create written language for primitive tribes.,,,,,,,,,
145,Westinghouse,40.742903,-73.845199,Federal and State,$0.00,,,10am - 10pm,"Of Another Era: The first circular pavilion is given to the original Time Capsule. A full-sized model, through a window along one side, reveals that it was packed with such items as a slide rule, a woman's hat, synthetic rubber and 10 million words on microfilm taken from books, magazines and newspapers setting forth the state of civilization in 1938. There was also messages to the future from Albert Einstein, Robert A. Millikan and Thomas Mann.","Of Times Now: The scond pavilion shows in photographs some of the awesome things that have happened since the first capsule went down: wonder drugs, jet aircraft, atomic and hydrogen explosions, commercial television and the first amn in space, plus other events of war and peace that stirred the world. A distinguished committee will choose from among all these and more the things that will be recorded in the new Time Capsule - and visitors may sign a book that will go into the capsule, to be read by later generations.","Of Time Past: In the third pavilion a 5,000-year calender shows events of the past in detail.","176, 195",The gleaming new Time Capsule is diplayed with copies of articles buried in the last one (in 1938).,,,,,,,,,
146,West Virginia,40.750612,-73.84743,Federal and State,$0.00,,,10am - 10pm,"Fragile Mementos: Half a dozen glassblowers perform continuously, blowing such curiosities as horses, fish, ducks. The pieces may be bought for $1.00.","Bottom of the Pit: After entering a simulated coal mine, with slate to walk upon, coal along the walls, and veins to enter, visitors come out at the ""tipple,"" where coal is sorted and graded. Dioramas en route trace the history of mining from the days of donkey carts to modern machines.","High in the Sky: A color movie shows the huge radio telescope at Green Bank, West Virginia, and describes how It probes the secrets of the universe.","38, 39, 184, 176, 185","Glassblowers at work, a simulated coal mine and a movie of the state's radio telescope are featured.",,,,,,,,,
147,Wisconsin,40.744434,-73.845896,Federal and State,$0.00,,,10am - 10pm,"Sportman's Show:  There are daily demonstrations of flycasting, Indian archery and field work with hunting dogs. Trout fishing is available for fishing enthusiasts.",,,"176, 190",The exhibit includes a 17-ton cheese and a sportman's show with displays of archery and fly-casting,,,,,,,,,
148,World's Fair Marina,40.761265,-73.856327,Flushing Bay,$0.00,,,10am - 10pm,,,,247,"One of the Fair's permanent installations, this 800-boat marina is one of the largest on the East Coast. It is the port of call for the boatmen cruising to the Fair, and the terminal for commercial boat and hydrofoil lines from New York City's new jet-powered fireboats. Evinrude Motors maintains a mall port and message center for boatmen, and Johnson Motors offers information on boating facilities around the world. In one buiding is a display presented by the Olympic Committee of the International Yacht Racing Association. A restaurant overlooks the harbor. The marina also has a coffe shop.",,,,,,,,,
149,World's Fair Pavilion,40.749901,-73.841589,Industrial,$0.00,,,10am - 10pm,,,,62,This is the Fair's auditorium.,,,,,,,,,
